Area,Perimeter,Major_Axis_Length,Minor_Axis_Length,Convex_Area,Equiv_Diameter,Eccentricity,Solidity,Extent,Roundness,Aspect_Ration,Compactness,Class
56276.00,888.24,326.15,220.24,56831.00,267.68,0.74,0.99,0.75,0.90,1.48,0.82,aaaeraaaevelik
76631.00,1068.15,417.19,234.23,77280.00,312.36,0.83,0.99,0.72,0.84,1.78,0.75,aaaeraaaevelik
71623.00,1082.99,435.83,211.05,72663.00,301.98,0.87,0.99,0.74,0.77,2.07,0.69,aaaeraaaevelik
66458.00,992.05,381.56,222.53,67118.00,290.89,0.81,0.99,0.74,0.85,1.71,0.76,aaaeraaaevelik
66107.00,998.15,383.89,220.45,67117.00,290.12,0.82,0.99,0.68,0.83,1.74,0.76,aaaeraaaevelik
73191.00,1041.46,405.81,231.43,73969.00,305.27,0.82,0.99,0.72,0.85,1.75,0.75,aaaeraaaevelik
73338.00,1020.06,392.25,238.55,73859.00,305.58,0.79,0.99,0.72,0.89,1.64,0.78,aaaeraaaevelik
69692.00,1049.11,421.49,211.77,70442.00,297.88,0.86,0.99,0.67,0.80,1.99,0.71,aaaeraaaevelik
95727.00,1231.61,488.12,251.31,96831.00,349.12,0.86,0.99,0.62,0.79,1.94,0.72,aaaeraaaevelik
73465.00,1047.77,413.65,227.26,74089.00,305.84,0.84,0.99,0.74,0.84,1.82,0.74,aaaeraaaevelik
83429.00,1114.56,438.58,242.88,84126.00,325.92,0.83,0.99,0.70,0.84,1.81,0.74,aaaeraaaevelik
85461.00,1136.13,446.29,245.16,86344.00,329.87,0.84,0.99,0.75,0.83,1.82,0.74,aaaeraaaevelik
71393.00,1096.53,459.21,199.13,72203.00,301.50,0.90,0.99,0.60,0.75,2.31,0.66,aaaeraaaevelik
80151.00,1088.35,420.88,244.26,80854.00,319.45,0.81,0.99,0.73,0.85,1.72,0.76,aaaeraaaevelik
68078.00,1016.82,403.06,215.60,68709.00,294.41,0.84,0.99,0.74,0.83,1.87,0.73,aaaeraaaevelik
57934.00,933.36,368.78,201.21,58651.00,271.60,0.84,0.99,0.71,0.84,1.83,0.74,aaaeraaaevelik
61138.00,953.26,371.27,211.37,61753.00,279.00,0.82,0.99,0.74,0.85,1.76,0.75,aaaeraaaevelik
61519.00,964.69,382.18,205.64,62227.00,279.87,0.84,0.99,0.67,0.83,1.86,0.73,aaaeraaaevelik
76073.00,1064.23,430.76,225.33,76576.00,311.22,0.85,0.99,0.77,0.84,1.91,0.72,aaaeraaaevelik
56882.00,926.30,368.02,197.46,57544.00,269.12,0.84,0.99,0.74,0.83,1.86,0.73,aaaeraaaevelik
69350.00,1037.40,418.27,211.94,70249.00,297.15,0.86,0.99,0.75,0.81,1.97,0.71,aaaeraaaevelik
82196.00,1141.07,466.23,225.85,82991.00,323.50,0.87,0.99,0.67,0.79,2.06,0.69,aaaeraaaevelik
62165.00,936.72,356.83,222.39,62647.00,281.34,0.78,0.99,0.72,0.89,1.60,0.79,aaaeraaaevelik
85913.00,1120.78,435.74,251.46,86577.00,330.74,0.82,0.99,0.74,0.86,1.73,0.76,aaaeraaaevelik
68683.00,1021.57,409.83,214.40,69337.00,295.72,0.85,0.99,0.65,0.83,1.91,0.72,aaaeraaaevelik
61215.00,951.51,369.41,212.72,61936.00,279.18,0.82,0.99,0.68,0.85,1.74,0.76,aaaeraaaevelik
72713.00,1039.38,401.81,231.20,73336.00,304.27,0.82,0.99,0.69,0.85,1.74,0.76,aaaeraaaevelik
58684.00,917.48,355.84,210.45,59202.00,273.35,0.81,0.99,0.72,0.88,1.69,0.77,aaaeraaaevelik
59652.00,932.20,359.17,213.72,60204.00,275.59,0.80,0.99,0.68,0.86,1.68,0.77,aaaeraaaevelik
89091.00,1138.97,443.72,256.10,89964.00,336.80,0.82,0.99,0.74,0.86,1.73,0.76,aaaeraaaevelik
58701.00,924.23,361.28,207.36,59204.00,273.39,0.82,0.99,0.67,0.86,1.74,0.76,aaaeraaaevelik
67699.00,1023.72,405.67,213.45,68507.00,293.59,0.85,0.99,0.69,0.81,1.90,0.72,aaaeraaaevelik
80555.00,1089.00,418.40,246.14,81584.00,320.26,0.81,0.99,0.74,0.85,1.70,0.77,aaaeraaaevelik
68816.00,996.08,387.61,227.58,69403.00,296.01,0.81,0.99,0.75,0.87,1.70,0.76,aaaeraaaevelik
80729.00,1095.10,430.93,239.09,81407.00,320.60,0.83,0.99,0.75,0.85,1.80,0.74,aaaeraaaevelik
67796.00,1004.68,384.12,226.07,68610.00,293.80,0.81,0.99,0.70,0.84,1.70,0.76,aaaeraaaevelik
71730.00,1035.02,402.10,227.92,72668.00,302.21,0.82,0.99,0.68,0.84,1.76,0.75,aaaeraaaevelik
70771.00,1016.41,387.19,234.02,71451.00,300.18,0.80,0.99,0.72,0.86,1.65,0.78,aaaeraaaevelik
73611.00,1019.85,384.02,244.59,74230.00,306.14,0.77,0.99,0.72,0.89,1.57,0.80,aaaeraaaevelik
79842.00,1133.40,458.04,222.83,80792.00,318.84,0.87,0.99,0.74,0.78,2.06,0.70,aaaeraaaevelik
68822.00,1036.68,422.29,208.05,69467.00,296.02,0.87,0.99,0.75,0.80,2.03,0.70,aaaeraaaevelik
76775.00,1090.25,440.85,223.20,77569.00,312.65,0.86,0.99,0.74,0.81,1.98,0.71,aaaeraaaevelik
62105.00,986.37,390.43,203.16,62792.00,281.20,0.85,0.99,0.66,0.80,1.92,0.72,aaaeraaaevelik
55811.00,937.11,360.57,199.14,56778.00,266.57,0.83,0.98,0.63,0.80,1.81,0.74,aaaeraaaevelik
97062.00,1181.12,441.07,281.39,97926.00,351.54,0.77,0.99,0.73,0.87,1.57,0.80,aaaeraaaevelik
70361.00,1060.62,431.29,208.62,71075.00,299.31,0.88,0.99,0.66,0.79,2.07,0.69,aaaeraaaevelik
75482.00,1050.83,388.62,247.84,76417.00,310.01,0.77,0.99,0.70,0.86,1.57,0.80,aaaeraaaevelik
67832.00,1004.39,380.66,228.26,68816.00,293.88,0.80,0.99,0.72,0.85,1.67,0.77,aaaeraaaevelik
67135.00,1031.82,368.10,238.78,68784.00,292.37,0.76,0.98,0.69,0.79,1.54,0.79,aaaeraaaevelik
79074.00,1065.43,398.66,253.87,79681.00,317.30,0.77,0.99,0.74,0.88,1.57,0.80,aaaeraaaevelik
86164.00,1122.04,428.27,256.97,86938.00,331.22,0.80,0.99,0.69,0.86,1.67,0.77,aaaeraaaevelik
67549.00,1004.33,392.51,219.68,68147.00,293.27,0.83,0.99,0.71,0.84,1.79,0.75,aaaeraaaevelik
87490.00,1137.82,429.79,260.80,88474.00,333.76,0.79,0.99,0.76,0.85,1.65,0.78,aaaeraaaevelik
82468.00,1135.00,452.27,232.59,83212.00,324.04,0.86,0.99,0.63,0.80,1.94,0.72,aaaeraaaevelik
90346.00,1173.76,462.22,250.04,91444.00,339.16,0.84,0.99,0.74,0.82,1.85,0.73,aaaeraaaevelik
73484.00,1076.32,423.54,223.21,74411.00,305.88,0.85,0.99,0.74,0.80,1.90,0.72,aaaeraaaevelik
87906.00,1156.06,446.53,251.70,88905.00,334.55,0.83,0.99,0.71,0.83,1.77,0.75,aaaeraaaevelik
83467.00,1127.23,452.14,235.43,84142.00,326.00,0.85,0.99,0.76,0.83,1.92,0.72,aaaeraaaevelik
82324.00,1108.52,440.72,238.82,82952.00,323.76,0.84,0.99,0.75,0.84,1.85,0.73,aaaeraaaevelik
88264.00,1156.40,461.00,244.57,89044.00,335.23,0.85,0.99,0.77,0.83,1.89,0.73,aaaeraaaevelik
106862.00,1253.49,492.49,277.48,107521.00,368.86,0.83,0.99,0.74,0.85,1.77,0.75,aaaeraaaevelik
69275.00,1007.57,386.02,229.62,70121.00,296.99,0.80,0.99,0.73,0.86,1.68,0.77,aaaeraaaevelik
64922.00,987.93,382.43,216.78,65490.00,287.51,0.82,0.99,0.70,0.84,1.76,0.75,aaaeraaaevelik
88645.00,1177.00,464.83,243.82,89630.00,335.96,0.85,0.99,0.74,0.80,1.91,0.72,aaaeraaaevelik
102336.00,1241.00,490.54,266.72,103286.00,360.97,0.84,0.99,0.73,0.84,1.84,0.74,aaaeraaaevelik
64604.00,1000.25,403.98,204.32,65208.00,286.80,0.86,0.99,0.65,0.81,1.98,0.71,aaaeraaaevelik
71311.00,1036.34,410.67,222.19,72149.00,301.32,0.84,0.99,0.74,0.83,1.85,0.73,aaaeraaaevelik
87179.00,1136.82,445.23,250.67,88092.00,333.17,0.83,0.99,0.71,0.85,1.78,0.75,aaaeraaaevelik
86869.00,1164.89,464.35,238.92,87821.00,332.57,0.86,0.99,0.67,0.80,1.94,0.72,aaaeraaaevelik
77063.00,1109.14,452.24,217.89,77806.00,313.24,0.88,0.99,0.62,0.79,2.08,0.69,aaaeraaaevelik
74522.00,1090.46,439.70,217.28,75450.00,308.03,0.87,0.99,0.72,0.79,2.02,0.70,aaaeraaaevelik
64543.00,959.77,364.35,226.75,65140.00,286.67,0.78,0.99,0.70,0.88,1.61,0.79,aaaeraaaevelik
95832.00,1229.24,501.02,244.03,96696.00,349.31,0.87,0.99,0.73,0.80,2.05,0.70,aaaeraaaevelik
68607.00,1004.03,385.86,227.71,69396.00,295.56,0.81,0.99,0.70,0.86,1.69,0.77,aaaeraaaevelik
79071.00,1089.77,422.34,240.72,80002.00,317.30,0.82,0.99,0.67,0.84,1.75,0.75,aaaeraaaevelik
70673.00,1055.63,423.94,213.35,71608.00,299.97,0.86,0.99,0.66,0.80,1.99,0.71,aaaeraaaevelik
